topic,label
"critic,modern,conting,contemporari,theori,conceptu,theoret",Critical Theory
"vote,voter,choic,turnout,elect,elector,chapter",Voting
"terror,war,terrorist,oper,likelihood,theori,novel",Interstate War
"partisan,polar,elector,elect,incumb,district,advantag",Partisanship
"moral,thought,ethic,virtu,life,human,philosophi",Political Theory
"exploit,coordin,neoliber,space,procedur,constitut,crisi",Finance
"emot,attitud,survey,citizen,sophist,belief,psycholog",Political Psychology
"militari,innov,doctrin,capabl,forc,intellig,civilian",Foreign Policy
"bank,invest,foreign,monetari,trade,financi,investor",International Political Economy
"campaign,candid,consult,voter,elect,primari,presidenti",Campaigns
"judici,court,judg,complianc,legal,execut,decis",Judicial Politics
"corrupt,countri,variabl,quantit,cross-nat,cross-sect,regress",Corruption
"congress,committe,bill,legisl,congression,hous,senat",Congress
"tax,properti,redistribut,fiscal,revenu,cost,spend",Fiscal Policy
"presid,frame,presidenti,agenda,issu,press,speech",Presidential Action
"land,agricultur,industri,sector,economi,rural,oil",Land
"attack,model,terrorist,target,threat,game,measur",Terrorism
"canada,canadian,thesi,labour,constitut,feder,german",Canada
"agenc,bureaucrat,bureaucraci,enforc,regul,administr,regulatori",Bureaucracy
"mediat,disput,cost,formal,inform,predict,incent",Disputes
"societi,democrat,freedom,civil,democraci,liberti,liber",Freedom
"secur,transnat,migrat,border,brazil,physic,boundari",Security
"region,european,integr,latin,transport,trade,america",Regional Politics
"public,opinion,crime,mass,fear,poll,assess",Public Opinion
"minor,indian,behavior,american,aggress,counti,empower",Minority Participation
"individu,good,judgment,peopl,qualiti,subject,experiment",Personal Judgment
"conflict,domest,intern,peac,territori,threat,rival",Civil Conflict
"media,news,prime,coverag,approv,issu,messag",Media
"labor,market,busi,firm,economi,union,global",Labor
"role,play,valu,cultur,univers,american,approach",Culture/Values
"china,chines,technolog,water,aid,foreign,enterpris",Technological Capacity
"norm,indigen,coloni,histor,financi,right,japanes",History
"state,unit,adopt,governor,feder,variabl,determin",State Politics
"offic,polic,school,interview,review,staff,field",Military and Police
"polici,coalit,chang,outcom,player,decis,shift",Bargaining
"represent,constitu,style,repres,attribut,home,member",Representation
"allianc,transit,communist,europ,post-communist,eastern,transform",Transitions
"violenc,ethnic,insurg,civil,repress,violent,war",Repression & Violence
"institut,trust,perform,democraci,polit,across,level",Political Trust
"environ,paper,recruit,appeal,select,cohes,behavior",Recruitment
"ident,latino,ethnic,identif,mobil,attitud,group",Ethnic Groups
"communiti,citi,urban,neighborhood,resid,local,civic",Local/Urban politics
"right,incom,human,growth,inequ,econom,sanction",Human Development
"oblig,liber,legitimaci,action,normat,affirm,reason",Legitimacy
"environment,program,climat,scienc,scientif,sustain,paradigm",Environmental Politics
"plan,local,collabor,govern,feder,intergovernment,implement",Federalism
"immigr,migrant,restrict,skill,incorpor,respons,enforc",Immigration
"citizenship,justic,religi,global,turkey,duti,religion",Citizenship/National Identity
"delib,particip,participatori,citizen,civic,deliber,engag",Citizen Engagement
"parti,elector,faction,competit,system,domin,ideolog",Parties
"south,korea,africa,decentr,african,taiwan,consolid",State Capacity
"legislatur,execut,branch,profession,california,membership,legisl",Branches of Government
"board,servic,provis,deliveri,educ,voluntari,contact",Public Goods/Services
"welfar,fund,safeti,health,risk,spend,program",Spending
"movement,network,activist,organ,social,protest,mobil",Social Movements
"communic,onlin,messag,internet,inform,televis,knowledg",Political Attitudes
"regim,authoritarian,opposit,leader,dictat,rule,patronag",Non-Democracies/New Democracies
"care,health,reform,medic,law,adopt,access",Healthcare
"group,interest,lobbi,activ,strategi,advocaci,organiz",Interest Groups
"narrat,stori,young,victim,discours,histori,symbol",Narrative/Discourse
"women,gender,black,racial,white,poverti,race",Race/Gender